country_code,year,PIB,country_name,continent_name,pop_active,pop_total,earth_footprint,IHD,pib_per_capta,measure,energy_value,earth_footprint_continent_mean_on_year,pop_active_continent_mean_on_year,pop_total_continent_mean_on_year,IHD_continent_mean_on_year,pib_per_capta_continent_mean_on_year,energy_value_continent_mean_on_year
ECU,1990,15239278100.3502,Ecuador,South America,4069528,10230934,0.8881179058652554,0.643,1489.5295092657425,PC_PRYENRGSUPPLY,21.79,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
EGY,1990,42978914311.3504,Egypt,Africa,15492081,56134475,0.680756014405992,0.546,765.6420463779237,PC_PRYENRGSUPPLY,5.93,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
ESP,1990,535101248775.71,Spain,Europe,15594956,38867322,2.1994165811853383,0.754,13767.381472171148,PC_PRYENRGSUPPLY,6.88,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
EST,1990,NA,Estonia,Europe,773798,1569174,NA,0.733,NA,PC_PRYENRGSUPPLY,1.92,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
FIN,1990,141517648888.198,Finland,Europe,2622943,4986431,3.4808740768926203,0.784,28380.54891127502,PC_PRYENRGSUPPLY,19.34,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
FJI,1990,1337024782.22702,Fiji,Oceania,269084,728573,1.1445620319050702,0.643,1835.1280959176638,NA,NA,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
FRA,1990,1269179616913.63,France,Europe,25940244,58235697,2.7040089679946266,0.779,21793.842647983245,PC_PRYENRGSUPPLY,6.8,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
GAB,1990,5952293765.84468,Gabon,Africa,252356,949488,0.699256191346727,0.62,6268.9510197545205,PC_PRYENRGSUPPLY,67.99,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
GBR,1990,1093169389204.55,United Kingdom,Europe,29039203,57247586,2.8215122293767005,0.775,19095.466998460863,PC_PRYENRGSUPPLY,0.5,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
GHA,1990,5889174825.487,Ghana,Africa,6188137,14773277,0.5409600092335041,0.455,398.6370001379518,PC_PRYENRGSUPPLY,83,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
GIN,1990,2666616176.91609,Guinea,Africa,2298155,6352283,0.67826785892581,0.276,419.7886298384518,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
GMB,1990,317083373.524559,Gambia,Africa,308661,955593,0.5479138699083811,0.333,331.81843475680444,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
GRC,1990,97891090928.6328,Greece,Europe,4204393,10196792,2.2925662539773164,0.753,9600.185129659681,PC_PRYENRGSUPPLY,5.15,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
GTM,1990,7650125217.35253,Guatemala,North America,3113748,9263813,0.6318651646190627,0.478,825.8073880973774,PC_PRYENRGSUPPLY,72.14,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
GUY,1990,396582263.291139,Guyana,South America,282298,743309,0.7918269595301253,0.538,533.5362053885249,NA,NA,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
HND,1990,4923009551.51561,Honduras,North America,1769998,4955303,0.8073758031040613,0.506,993.4830527044683,PC_PRYENRGSUPPLY,71.19,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
HRV,1990,NA,Croatia,Europe,2218247,4777368,NA,0.67,NA,PC_PRYENRGSUPPLY,12.87,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
HTI,1990,3096289800,Haiti,North America,2692553,7037917,0.28315122950333,0.409,439.9440629947753,PC_PRYENRGSUPPLY,80.27,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
HUN,1990,NA,Hungary,Europe,4509387,10373988,2.0835792524418104,0.704,NA,PC_PRYENRGSUPPLY,2.59,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
IDN,1990,106140727357.035,Indonesia,Asia,72957661,181413402,0.5823672402905032,0.528,585.0765499510064,PC_PRYENRGSUPPLY,46.57,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
IND,1990,320979034101.132,India,Asia,317682476,873277798,0.37858168922699653,0.427,367.55661810737115,PC_PRYENRGSUPPLY,45.67,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
IRL,1990,49364679953.1067,Ireland,Europe,1431989,3513974,3.067200406644452,0.763,14048.10620485715,PC_PRYENRGSUPPLY,1.69,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
IRN,1990,124813263926.246,"Iran, Islamic Republic of",Asia,14213818,56366217,0.7638904275503576,0.577,2214.3274920551435,PC_PRYENRGSUPPLY,1.07,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
IRQ,1990,179885815374.719,Iraq,Asia,3988311,17419113,0.7698567862024018,0.572,10326.921662125907,PC_PRYENRGSUPPLY,1.23,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
ISL,1990,6478459746.96228,Iceland,Europe,142030,254826,NA,0.802,25423.072005848226,PC_PRYENRGSUPPLY,71.36,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
ISR,1990,58925354726.7136,Israel,Asia,1889662,4660000,2.1715339590115277,0.792,12644.925907020086,PC_PRYENRGSUPPLY,3.15,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
